# Step COM1_x COM1_y COM1_z COM2_x COM2_y COM2_z disp1 disp2
76 116.764332 118.142686 117.473842 98.525027 96.772190 106.845475 15.509758 15.669373
77 116.921831 118.249414 117.559733 98.359896 96.684246 106.763067 15.718419 15.873080
78 117.122206 118.358250 117.650603 98.223935 96.598991 106.711627 15.962642 16.040924
79 117.301809 118.434090 117.713441 98.050971 96.501289 106.626712 16.163054 16.256582
80 117.489142 118.516882 117.779581 97.900310 96.429411 106.532987 16.374357 16.445463
81 117.644740 118.643279 117.885090 97.729978 96.362485 106.476783 16.599365 16.632546
82 117.778131 118.780485 117.933875 97.522756 96.248115 106.367451 16.791274 16.892592
83 117.907674 118.879822 117.990949 97.321614 96.073414 106.273699 16.963715 17.172081
84 118.056942 118.995856 118.056813 97.166682 95.952748 106.177787 17.163287 17.389618
85 118.262477 119.137687 118.178352 97.027105 95.843095 106.080930 17.440531 17.590158
86 118.484282 119.295063 118.302427 96.844557 95.763265 106.025196 17.739273 17.792932
87 118.614824 119.348753 118.393478 96.678123 95.656602 105.973849 17.901690 17.995074
88 118.792629 119.479722 118.479331 96.509443 95.549804 105.927004 18.138436 18.197338
89 118.963558 119.592252 118.534301 96.363577 95.429392 105.829582 18.348421 18.408273
90 119.163967 119.729274 118.635376 96.249696 95.350491 105.773861 18.611393 18.557535
91 119.315547 119.786613 118.708431 96.078134 95.231692 105.718533 18.784831 18.771358
92 119.481454 119.872055 118.748803 95.877259 95.087636 105.577008 18.971325 19.053747
93 119.641609 120.003286 118.853145 95.738238 94.996160 105.489103 19.201834 19.241199
94 119.848213 120.132344 118.977680 95.562826 94.878129 105.400633 19.474410 19.470367
95 119.964140 120.261832 119.057018 95.402707 94.749932 105.292227 19.660740 19.700571
96 120.162347 120.397845 119.183524 95.221696 94.706692 105.201686 19.931331 19.897244
97 120.306791 120.506688 119.254106 95.050785 94.571209 105.118643 20.125253 20.129585
98 120.482399 120.585914 119.335449 94.898178 94.439595 105.042864 20.331602 20.343053
99 120.630911 120.649500 119.375984 94.694543 94.299066 104.989161 20.493473 20.591925
100 120.798428 120.746544 119.473448 94.539771 94.195388 104.919712 20.709211 20.790578
